epoch	utc	rss_kb	rss_gib
1782564758	12:52:38	11261248	10.740
1782564761	12:52:41	14728656	14.046
1782564764	12:52:44	14728944	14.047
1782564768	12:52:48	14728944	14.047
1782564771	12:52:51	14728944	14.047
1782564774	12:52:54	14915248	14.224
1782564777	12:52:57	5302416	5.057
1782564780	12:53:00	5242064	4.999
1782564784	12:53:04	6405072	6.108
1782564787	12:53:07	5086624	4.851
1782564790	12:53:10	5050368	4.816
1782564793	12:53:13	5334352	5.087
1782564796	12:53:16	4779712	4.558
1782564799	12:53:19	6794288	6.480
1782564802	12:53:22	4701440	4.484
1782564806	12:53:26	4868512	4.643
1782564809	12:53:29	5432160	5.181
1782564812	12:53:32	5173728	4.934
1782564815	12:53:35	6308272	6.016
1782564818	12:53:38	7505280	7.158
1782564821	12:53:41	8712304	8.309
1782564824	12:53:44	10953424	10.446
1782564828	12:53:48	4930656	4.702
1782564831	12:53:51	5507184	5.252
1782564834	12:53:54	5663744	5.401
1782564837	12:53:57	5090560	4.855
1782564840	12:54:00	5088288	4.853
1782564843	12:54:03	6471760	6.172
1782564846	12:54:06	5382208	5.133
1782564849	12:54:09	3909904	3.729
1782564852	12:54:12	6858112	6.540
1782564855	12:54:15	6838720	6.522
1782564858	12:54:18	7750848	7.392
1782564862	12:54:22	3637456	3.469
1782564865	12:54:25	5140384	4.902
1782564868	12:54:28	4433936	4.229
1782564871	12:54:31	7039232	6.713
1782564874	12:54:34	5628368	5.368
1782564878	12:54:38	6869408	6.551
1782564882	12:54:42	5083168	4.848
1782564885	12:54:45	11729872	11.186
1782564888	12:54:48	10363936	9.884
1782564891	12:54:51	4148016	3.956
1782564894	12:54:54	7572832	7.222
1782564897	12:54:57	8157680	7.780
1782564900	12:55:00	8931904	8.518
1782564904	12:55:04	15639072	14.915
1782564907	12:55:07	9831504	9.376
1782564910	12:55:10	6725312	6.414
1782564913	12:55:13	7281600	6.944
1782564917	12:55:17	4807040	4.584
1782564920	12:55:20	5322944	5.076
1782564923	12:55:23	8221056	7.840
1782564927	12:55:27	4844816	4.620
1782564930	12:55:30	4693424	4.476
1782564933	12:55:33	11245728	10.725
1782564936	12:55:36	11943568	11.390
1782564939	12:55:39	14474080	13.804
1782564942	12:55:42	14474416	13.804
1782564945	12:55:45	15604256	14.881
1782564948	12:55:48	7627056	7.274
1782564951	12:55:51	6365344	6.070
1782564955	12:55:55	5442192	5.190
1782564958	12:55:58	6473360	6.173
1782564961	12:56:01	6245072	5.956
1782564964	12:56:04	8904016	8.492
1782564967	12:56:07	3453472	3.293
1782564970	12:56:10	7568128	7.218
1782564973	12:56:13	6629312	6.322
1782564977	12:56:17	9240624	8.813
1782564980	12:56:20	5329552	5.083
1782564984	12:56:24	6867392	6.549
1782564987	12:56:27	8053952	7.681
1782564990	12:56:30	9424912	8.988
1782564993	12:56:33	4735488	4.516
1782564997	12:56:37	4645904	4.431
1782565000	12:56:40	4594976	4.382
1782565003	12:56:43	4888704	4.662
1782565006	12:56:46	4856304	4.631
1782565009	12:56:49	5732736	5.467
1782565012	12:56:52	7485152	7.138
1782565015	12:56:55	7207072	6.873
1782565018	12:56:58	3948000	3.765
1782565021	12:57:01	5423408	5.172
1782565025	12:57:05	6493648	6.193
1782565028	12:57:08	5625936	5.365
1782565031	12:57:11	8790480	8.383
1782565034	12:57:14	7292528	6.955
1782565037	12:57:17	4619392	4.405
1782565040	12:57:20	11254256	10.733
1782565043	12:57:23	13102272	12.495
1782565046	12:57:26	7480480	7.134
1782565049	12:57:29	8108160	7.733
1782565052	12:57:32	9962912	9.501
1782565056	12:57:36	15536848	14.817
1782565059	12:57:39	10245856	9.771
1782565062	12:57:42	8180928	7.802
1782565065	12:57:45	4791040	4.569
1782565069	12:57:49	5639952	5.379
1782565072	12:57:52	5837504	5.567
1782565075	12:57:55	8885488	8.474
1782565079	12:57:59	5489824	5.236
1782565082	12:58:02	11590480	11.054
1782565085	12:58:05	11023424	10.513
1782565088	12:58:08	12388064	11.814
1782565091	12:58:11	5959456	5.683
1782565094	12:58:14	6716640	6.405
1782565097	12:58:17	12509760	11.930
1782565100	12:58:20	11223648	10.704
1782565103	12:58:23	12065296	11.506
1782565106	12:58:26	10662432	10.168
1782565109	12:58:29	13609632	12.979
1782565112	12:58:32	10412960	9.931
1782565116	12:58:36	6048944	5.769
1782565119	12:58:39	7596336	7.244
1782565122	12:58:42	9120784	8.698
1782565125	12:58:45	7970992	7.602
1782565129	12:58:49	4779312	4.558
1782565132	12:58:52	5214752	4.973
1782565135	12:58:55	3012032	2.872
1782565138	12:58:58	3688864	3.518
1782565141	12:59:01	6490304	6.190
1782565144	12:59:04	9361824	8.928
1782565148	12:59:08	4758400	4.538
1782565151	12:59:11	4556080	4.345
1782565154	12:59:14	5335824	5.089
1782565157	12:59:17	3648960	3.480
1782565160	12:59:20	4117920	3.927
1782565163	12:59:23	4242752	4.046
1782565167	12:59:27	4113056	3.923
1782565170	12:59:30	5916464	5.642
1782565173	12:59:33	4981296	4.751
1782565176	12:59:36	4595136	4.382
1782565180	12:59:40	4319920	4.120
1782565183	12:59:43	4952768	4.723
1782565186	12:59:46	9084960	8.664
1782565189	12:59:49	10006528	9.543
1782565193	12:59:53	11739936	11.196
1782565196	12:59:56	10198608	9.726
1782565199	12:59:59	6417984	6.121
1782565202	13:00:02	7883328	7.518
1782565205	13:00:05	11237888	10.717
1782565208	13:00:08	14616224	13.939
1782565211	13:00:11	13045744	12.441
1782565214	13:00:14	6243648	5.954
1782565217	13:00:17	7324608	6.985
1782565221	13:00:21	8616432	8.217
1782565224	13:00:24	9801648	9.348
1782565227	13:00:27	6143008	5.858
1782565231	13:00:31	4547328	4.337
1782565234	13:00:34	4709296	4.491
1782565237	13:00:37	5076704	4.842
1782565241	13:00:41	5167424	4.928
1782565244	13:00:44	5555440	5.298
1782565247	13:00:47	4988336	4.757
1782565250	13:00:50	7297216	6.959
1782565253	13:00:53	8716864	8.313
1782565256	13:00:56	3958224	3.775
1782565259	13:00:59	12346160	11.774
1782565263	13:01:03	13437744	12.815
1782565266	13:01:06	13579296	12.950
1782565269	13:01:09	13579312	12.950
1782565272	13:01:12	13566208	12.938
1782565275	13:01:15	13736336	13.100
1782565279	13:01:19	12206128	11.641
1782565282	13:01:22	4932016	4.704
1782565285	13:01:25	3607824	3.441
1782565289	13:01:29	11513888	10.980
1782565293	13:01:33	4562736	4.351
1782565296	13:01:36	8836528	8.427
1782565299	13:01:39	8950784	8.536
1782565302	13:01:42	10861504	10.358
